extracted_words
['ne']
['ne']
"['int', 'ne']"
"['se', 'ne']"
"['stone', 'se', 'ne']"
"['bank', 'area', 'int', 'circular', 'diam', '5m', 'circular area', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se', 'ne']"
"['bank', 'area', 'int', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se', 'ne', 'oval']"
"['bank', 'area', 'int', 'circular', 'enclosed', 'earthen', 'raised', 'earthen bank', 'se']"
"['bank', 'area', 'int', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se', 'ne', 'oval']"
"['bank', 'area', 'int', 'circular', '5m', 'circular area', 'enclosed', 'earthen', 'raised', 'fosse', 'earthen bank', 'se']"
['round']
"['bank', 'area', 'circular', 'diam', '5m', 'circular area', 'enclosed', 'stone', 'se', 'ne', 'diam. c. 22.85m']"
"['circular', 'stone', 'ne', 'round']"
"['bank', 'area', 'int', 'circular', 'diam', 'circular area', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se']"
"['stone', 'se', 'ne']"
"['bank', 'area', 'int', 'diam', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se', 'oval']"
['int']
"['bank', 'area', 'int', 'circular', 'diam', '5m', 'circular area', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se']"
"['area', 'int', 'circular', 'diam', 'circular area', 'se', 'ne']"
"['bank', 'area', 'int', 'circular', 'diam', 'circular area', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se']"
"['bank', 'area', 'int', 'circular', '5m', 'circular area', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se', 'round']"
"['bank', 'area', 'int', 'circular', 'circular area', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se']"
['ne']
"['se', 'ne']"
"['bank', 'area', 'int', 'circular', 'diam', 'circular area', 'enclosed', 'earthen', 'raised', 'fosse', 'earthen bank', 'se', 'diam. c. 47.4m']"
"['5m', 'stone', 'se', 'ne']"
"['circular', 'diam', '5m', 'stone', 'se', 'ne', 'diam. c. 20m']"
"['bank', 'area', 'int', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se']"
"['bank', 'area', 'int', 'circular', 'diam', '5m', 'circular area', 'enclosed', 'earthen', 'raised', 'fosse', 'earthen bank', 'se', 'diam. c. 35m']"
"['bank', 'area', 'int', 'circular', 'diam', 'enclosed', 'earthen', 'raised', 'fosse', 'earthen bank', 'se', 'diam. c. 28m']"
"['stone', 'ne']"
"['bank', 'area', 'int', 'circular', 'diam', 'circular area', 'enclosed', 'earthen', 'fosse', 'earthen bank', 'se']"
